Order ID,Order Date,Ship Date,Customer ID,Customer Name,Segment,City,State,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Payment Mode,Month,Year,Day,Profit Margin
ORD100002,2023-11-28,2023-11-30,CUST0203,Diya Shah,Home Office,Mumbai,Maharashtra,West,Furniture,Bookcase,Wooden Bookcase,9106.07,1,0.05,865.08,UPI,November,2023,Tuesday,9.500036788647574
ORD100003,2023-03-30,2023-04-03,CUST0215,Rohan Gupta,Consumer,Chennai,Tamil Nadu,South,Furniture,Chair,Office Chair,1325.64,10,0.05,125.94,Net Banking,March,2023,Thursday,9.500316828098125
ORD100004,2023-03-05,2023-03-10,CUST0300,Yash Patel,Consumer,Ahmedabad,Gujarat,West,Office Supplies,Binder,Ring Binder,4249.48,5,0.2,84.99,UPI,March,2023,Sunday,2.000009412916404
ORD100005,2024-08-07,2024-08-10,CUST0287,Anaya Shah,Home Office,Kolkata,West Bengal,East,Office Supplies,Binder,Ring Binder,1064.56,6,0.3,-31.94,UPI,August,2024,Wednesday,-3.0003005936725033
ORD100006,2024-07-31,2024-08-01,CUST0317,Kabir Verma,Home Office,Chennai,Tamil Nadu,South,Furniture,Table,Study Table,5897.06,8,0.15,265.37,Debit Card,July,2024,Wednesday,4.500039002485985
ORD100007,2023-11-03,2023-11-05,CUST0407,Anaya Gupta,Consumer,Kolkata,West Bengal,East,Furniture,Bookcase,Wooden Bookcase,8763.86,8,0.3,-262.92,Cash,November,2023,Friday,-3.000047924088244
ORD100008,2023-10-22,2023-10-27,CUST0038,Neha Kumar,Corporate,Pune,Maharashtra,West,Furniture,Chair,Office Chair,4274.81,8,0.3,-128.24,UPI,October,2023,Sunday,-2.999899410734044
ORD100009,2024-07-25,2024-07-30,CUST0405,Rahul Joshi,Home Office,Lucknow,Uttar Pradesh,North,Office Supplies,Pen,Gel Pen Box,7989.23,10,0.0,958.71,UPI,July,2024,Thursday,12.000030040441946
ORD100010,2023-10-04,2023-10-08,CUST0357,Rohan Patel,Home Office,Guwahati,Assam,East,Furniture,Bookcase,Wooden Bookcase,9931.65,10,0.15,446.92,Debit Card,October,2023,Wednesday,4.499957207513354
ORD100011,2024-01-31,2024-02-06,CUST0178,Aarav Verma,Corporate,Pune,Maharashtra,West,Office Supplies,Paper,A4 Paper Pack,683.65,8,0.1,47.86,Credit Card,January,2024,Wednesday,7.000658231551232
ORD100012,2023-09-11,2023-09-15,CUST0201,Nisha Shah,Consumer,Hyderabad,Telangana,South,Furniture,Bookcase,Wooden Bookcase,8845.5,5,0.15,398.05,Net Banking,September,2023,Monday,4.500028262958566
ORD100013,2023-10-13,2023-10-19,CUST0213,Sneha Desai,Consumer,Pune,Maharashtra,West,Technology,Phone,Smartphone,2396.37,3,0.05,227.66,UPI,October,2023,Friday,9.500202389447372
ORD100014,2024-05-11,2024-05-16,CUST0094,Arjun Singh,Consumer,Pune,Maharashtra,West,Furniture,Bookcase,Wooden Bookcase,6137.14,6,0.1,429.6,Credit Card,May,2024,Saturday,7.000003258846956
ORD100015,2024-12-08,2024-12-13,CUST0487,Diya Verma,Home Office,Chennai,Tamil Nadu,South,Furniture,Table,Study Table,4001.79,7,0.15,180.08,Cash,December,2024,Sunday,4.499986256150374
ORD100016,2023-03-05,2023-03-07,CUST0035,Kabir Verma,Consumer,Mumbai,Maharashtra,West,Furniture,Bookcase,Wooden Bookcase,1113.56,1,0.2,22.27,Credit Card,March,2023,Sunday,1.9998922375085313
ORD100017,2024-07-03,2024-07-04,CUST0486,Sneha Nair,Consumer,Mumbai,Maharashtra,West,Technology,Accessories,Keyboard,6380.65,3,0.1,446.65,Net Banking,July,2024,Wednesday,7.000070525730137
ORD100018,2024-01-08,2024-01-12,CUST0063,Neha Verma,Corporate,Hyderabad,Telangana,South,Furniture,Table,Study Table,1526.76,2,0.3,-45.8,Debit Card,January,2024,Monday,-2.999816605098378
ORD100019,2023-09-29,2023-10-03,CUST0425,Anaya Kumar,Consumer,Delhi,Delhi,North,Office Supplies,Storage,Plastic Storage Box,6931.67,3,0.0,831.8,Net Banking,September,2023,Friday,11.999994229384837
ORD100020,2023-11-02,2023-11-08,CUST0443,Rohan Singh,Home Office,Lucknow,Uttar Pradesh,North,Technology,Accessories,Wireless Mouse,5372.66,4,0.2,107.45,Debit Card,November,2023,Thursday,1.9999404391865483
ORD100021,2024-10-13,2024-10-15,CUST0314,Kabir Gupta,Corporate,Guwahati,Assam,East,Technology,Phone,Smartphone,4978.54,9,0.3,-149.36,UPI,October,2024,Sunday,-3.0000763275980513
ORD100022,2023-01-29,2023-02-01,CUST0242,Arjun Gupta,Home Office,Kolkata,West Bengal,East,Furniture,Table,Study Table,9554.51,6,0.1,668.82,UPI,January,2023,Sunday,7.0000450049243765
ORD100023,2023-08-14,2023-08-15,CUST0117,Nisha Gupta,Corporate,Delhi,Delhi,North,Furniture,Bookcase,Wooden Bookcase,8420.31,10,0.15,378.91,Debit Card,August,2023,Monday,4.499953089613091
ORD100024,2024-10-20,2024-10-21,CUST0428,Neha Desai,Home Office,Delhi,Delhi,North,Furniture,Chair,Office Chair,7912.44,7,0.1,553.87,UPI,October,2024,Sunday,6.9999898893388135
ORD100025,2024-02-10,2024-02-14,CUST0206,Rohan Mehta,Consumer,Pune,Maharashtra,West,Technology,Phone,Smartphone,9058.04,10,0.3,-271.74,Credit Card,February,2024,Saturday,-2.9999867521008956
ORD100026,2024-09-18,2024-09-23,CUST0243,Sneha Mehta,Home Office,Chennai,Tamil Nadu,South,Technology,Laptop,Business Laptop,8013.63,1,0.3,-240.41,UPI,September,2024,Wednesday,-3.0000137266132825
ORD100027,2024-06-23,2024-06-29,CUST0479,Vivaan Desai,Consumer,Delhi,Delhi,North,Technology,Accessories,Wireless Mouse,3000.37,4,0.05,285.04,Net Banking,June,2024,Sunday,9.500161646730238
